ID,Input1_Expression_1,Input2_Expression_2,Input3,Input4,PE_bin0_Expression_1,PE_bin0_Expression_2,PE_bin1_Expression_1,PE_bin1_Expression_2,PE_bin2_Expression_1,PE_bin2_Expression_2,bin_0_1,bin_0_2,bin_1_1,bin_1_2,bin_2_1,bin_2_2,concentration,class,Input1_Expression_1_freq,Input2_Expression_2_freq,PE_bin0_Expression_1_freq,PE_bin1_Expression_1_freq,PE_bin2_Expression_1_freq,PE_bin0_Expression_2_freq,PE_bin1_Expression_2_freq,PE_bin2_Expression_2_freq,avg_input_freq,Exp_weight_1,Exp_score_1,Exp_weight_2,Exp_score_2,Exp_score
JN111013.1,1129.0,759.0,1315.0,952.0,9.0,13.0,1660.0,707.0,1303.0,1092.0,906.0,1411.0,3288.0,10.0,21.0,12.0,A,others,0.0001722031503423414,0.00021172829910299633,2.6640885393841532e-06,0.00044142096624684283,0.00029425967965410947,5.120239685734317e-06,0.0001421974568346364,0.00026806981882110105,0.00019196572472266886,2.043182103586143,2.331206028444717,1.7189576294219844,2.8849257850694014,2.6080659067570595
R95-1C01_1,1673.0,625.0,1215.0,627.0,7160.0,4527.0,3429.0,4516.0,247.0,729.0,2370.0,2334.0,149.0,32.0,40.0,17.0,A,influenza,0.0002551044899761765,0.0001743972568927312,0.0019077538030529923,0.0009115435967650035,5.5963497357530024e-05,0.0016560318069289278,0.0009072117408503569,0.00017904022666002175,0.00021475087343445387,-1.532617480709959,0.20256713902344245,-0.9661180549092396,0.6018370809472278,0.4022021099853351
MW458556.1,2967.0,1187.0,989.0,911.0,656.0,488.0,1868.0,2642.0,1462.0,874.0,1847.0,1018.0,447.0,16.0,111.0,16.0,A,others,0.0004522999559434241,0.0003309647622820522,0.00017503061703753888,0.0004966982455841958,0.00033013950255671946,0.00017884265759457723,0.0005308303367428588,0.0002146030114075603,0.0003916323591127382,0.2755834687557717,1.2789716662304411,0.07916469704921256,1.4906288783391455,1.3848002722847932
MN281228.1,2943.0,1889.0,2946.0,1857.0,9155.0,1784.0,3259.0,7749.0,1112.0,2566.0,4611.0,4651.0,657.0,465.0,67.0,124.0,A,others,0.0004486425439007549,0.000526534849085083,0.002439239466660131,0.0008663650511527438,0.00025115876031826985,0.0006528305599311254,0.001556539958288746,0.0006295839203236654,0.00048758869649291896,-0.9873061074775553,0.5271857225156469,-0.015746848626249123,1.4099266921449436,0.9685562073302952
MN281210.1,1715.0,1284.0,1153.0,1147.0,19.0,21.0,3266.0,3136.0,1111.0,1465.0,2334.0,1941.0,930.0,515.0,68.0,340.0,A,others,0.00026150496105084765,0.0003579879794044083,5.3281770787683065e-06,0.0008682253442073663,0.0002509331010547314,8.046090934725355e-06,0.0006300472063421672,0.00035955201682683817,0.00030974647022762795,1.672979303772299,2.1108278841781365,1.6501767926334225,2.826442237492548,2.468635060835342
AB826560.1,2298.0,1895.0,2772.0,2143.0,107.0,1770.0,1484.0,52.0,3049.0,3459.0,205.0,441.0,13100.0,36748.0,364.0,156.0,A,others,0.00035034959525402024,0.0005282063882885278,2.8772156225348855e-05,0.00039464788373062105,0.0006882607537922039,0.0006477103202453911,1.0644724876039166e-05,0.0008486016222516099,0.000439277991771274,1.3787805960500779,1.9356942404400241,0.11732304075322139,1.5230744753057475,1.7293843578728858
MW654994.1,3380.0,1882.0,2942.0,1605.0,6853.0,3198.0,5730.0,7608.0,1226.0,3218.0,1792.0,3787.0,1038.0,530.0,210.0,42.0,A,others,0.0005152379215110232,0.0005245847200143975,0.0018259662848938987,0.001523048499434471,0.0002768839163616506,0.0011699747681902916,0.00152822097324117,0.0007894938213953562,0.0005199113207627103,-0.8191950251766021,0.6272606229938716,-0.17082776024797403,1.2780631921271717,0.9526619075605216
AY393373.1,2130.0,1294.0,1061.0,859.0,3627.0,2931.0,4118.0,2147.0,2441.0,473.0,1896.0,1166.0,208.0,28.0,29.0,18.0,A,others,0.00032474771095533585,0.0003607738780768161,0.0009665313220885708,0.0010946495845699854,0.00055105992156084,0.0010723244827552155,0.0004314126232779647,0.00011625351703678124,0.000342760794516076,-0.24401710658895223,0.9696584719166793,-0.9649201211444858,0.6028556701298553,0.7862570710232673
EU146383.1,2890.0,2618.0,3013.0,2403.0,29.0,30.0,972.0,1137.0,3280.0,2998.0,4052.0,4345.0,812.0,469.0,393.0,41.0,A,others,0.0004405657589731938,0.000729626862303615,7.99226561815246e-06,0.0002585807345925214,0.0007403880436695807,1.1337673589840274e-05,0.0002285603190364636,0.0007355364928128839,0.0005850963106384044,1.966789487856627,2.2857302435543647,1.812080275075774,2.964106890328672,2.6249185669415183
MN284556.1,1753.0,1762.0,2838.0,2067.0,699.0,703.0,2055.0,3099.0,4238.0,2302.0,1498.0,3209.0,3222.0,47.0,44.0,41.0,A,others,0.0002672958634517405,0.0004911539359455033,0.00018648619775689073,0.0005463946457576814,0.0009565696181393943,0.00025747490991121137,0.0006226159833154984,0.0005648351260246987,0.0003792248996986219,0.710069888744206,1.5376172275126085,0.34118678197263835,1.7134232173628567,1.6255202224377325
