"ID","Kd.x","Kd_SE.x","p.value.x","Kd.y","Kd_SE.y","p.value.y"
"1009-3G06_1",6.81559345289784e-08,1.10735701579477e-06,0.956519942577994,6.30639945086072e-06,0.000944626089148082,0.99527935107779
"10A14_1",1.4136272868471e-07,2.4391473839666e-07,0.60286777139688,2.02926894026416e-07,5.17243800452301e-06,0.97116995616202
"148",2.39209740653737e-07,6.9586741209692e-07,0.753711038635535,2.38732326329478e-06,0.000864215649906623,0.997969336988289
"150055-005_2D02_1",4.80360726218248e-07,3.29944263328426e-06,0.893478094166682,6.02504026459201e-07,2.9031720164447e-05,0.984745600626082
"150055-005_2D06_1",5.96163070856622e-07,3.08141213472053e-05,0.985779048637908,1.14572292848669e-06,0.000101285175112253,0.991684835153149
"150055-010_2G01_1",2.72733527868335e-07,4.19508525045086e-06,0.952253708704095,1.15808318077909e-06,0.000480122572273581,0.998226886404304
"150055-032_2D05_1",1.61539270345947e-06,0.00572757830515855,0.999792672665089,2.29217390406728e-06,0.00128896251681153,0.998692756588274
"150055-032_4B04_1",4.7153335158527e-07,1.75945156979612e-05,0.981052926802301,1e-05,0.896001977690503,0.999992108200665
"150055-037_4F05_1",1.31523058074168e-07,3.65636509533462e-06,0.973565141485361,2.54357947162457e-06,0.00127569412425527,0.998534290631866
"16.k.01_Heavy_1",1.31047734637536e-07,4.03339264468437e-07,0.766590429504862,2.15080990861052e-06,0.00286722905174472,0.999448571666699
"16.l.01_Heavy_1",3.91430618396711e-07,1.17164006050067e-05,0.975447123679478,1.35008267887185e-06,0.000111954824471405,0.991135525217075
"16.m.01_Heavy_1",1.03244048669547e-07,3.01498530986127e-07,0.764661782495147,1.41129226782812e-07,3.13610954891557e-07,0.696773912043628
"16.n.01_Heavy_1",2.50148717792577e-07,1.64301422003261e-06,0.888652854019755,1.43425836535176e-06,0.00130120002331639,0.99918972450799
"16.ND.91_Heavy_1",1.52282964649507e-10,1.16993377676278e-10,0.283975439020044,1.51172672637658e-09,1.64974200717037e-09,0.427060624646525
"1C06_",1.87951120400568e-07,4.88522338747564e-07,0.726088408862565,3.08259599420389e-06,0.0147873226108083,0.999846758445475
"1p49w59",5.79965725893024e-08,1.01007408523205e-07,0.606070245243632,4.18610839305303e-06,0.00604783663032299,0.999491185049726
"1p51w62",1.30430124662577e-07,1.81679889665081e-06,0.947286285810437,2.52957352898722e-07,2.28368507987116e-07,0.348830977699162
"20A-518-30_1D07",1e-05,1.76253711278521,0.999995829278212,3.09501663384699e-07,9.47134215439965e-07,0.765308134723428
"20A-518-30_1D08",3.16959249773104e-08,1.79954437736257e-07,0.871408055257007,3.70036690174638e-07,2.9706887641874e-05,0.990843654926619
"20A-518-30_1F06",1.45770366167648e-06,0.00771817922491813,0.99986116343076,4.71615749270546e-07,0.00024574268818244,0.998589228002578
