,ID,K_bin0_Expression_1,K_bin0_Expression_2,K_bin0_binding_1,K_bin0_binding_2,K_bin1_Expression_1,K_bin1_Expression_2,K_bin1_binding_1,K_bin1_binding_2,K_input_Binding_1,K_input_Binding_2,K_input_Expression_1,K_input_Expression_2,concentration
2108,CQTS043,10.0,4.0,4.0,4.0,3.0,2.0,6.0,5.0,12.0,7.0,2.0,2.0,A
2109,AY179841.1,,,,4.0,,,,5.0,4.0,1.0,2.0,,A
2110,DQ100805.1,,,,2.0,,,,1.0,1.0,,1.0,1.0,A
2111,ADI-55761,237.0,,44.0,33.0,38.0,381.0,19.0,2.0,832.0,945.0,1081.0,801.0,A
2112,CR9114_G11I,,,,9.0,,,,5.0,6.0,1.0,1.0,2.0,A
2113,HM774392.1,,,,2.0,,,,6.0,2.0,1.0,,,A
2114,MN288039.1,,,,1.0,,,,1.0,1.0,,,,A
2115,AB067130.1,,,,6.0,,,,8.0,3.0,6.0,3.0,,A
2116,S67982.1,,,,12.0,,,,9.0,3.0,2.0,1.0,,A
2117,20A-623-30_1A08,,,,4.0,,,,3.0,,,1.0,2.0,A
2118,MW458386.1,,,,11.0,,,,9.0,3.0,5.0,5.0,3.0,A
2119,MN284118.1,,,,11.0,,,,6.0,,5.0,2.0,1.0,A
2120,CR9114_A1V,,,,2.0,,,,2.0,26.0,24.0,16.0,11.0,A
2121,HM774974.1,,,,24.0,,,,29.0,2.0,6.0,3.0,1.0,A
2122,MK416549.1,,,1.0,5.0,,,,5.0,2.0,1.0,1.0,,A
2123,MN037563.1,,,,,,,,5.0,1.0,,,,A
2124,039_10_4B04_1,,,,11.0,,,,4.0,,1.0,,,A
2125,AY393654.1,,,,1.0,,,,4.0,,1.0,,,A
2126,AY376075.1,,,,3.0,,,,5.0,,,1.0,1.0,A
2127,MN285059.1,,,,5.0,,,,3.0,,,1.0,,A
2128,MT599823.1,,,,6.0,,,,5.0,,,1.0,,A
2129,AY179850.1,,,,3.0,,,,4.0,2.0,1.0,2.0,4.0,A
2130,MW176549.1,,,,2.0,,,,3.0,,1.0,,,A
2131,KX986423.1,,,,2.0,,,,3.0,1.0,3.0,,1.0,A
2132,CR9114_Y6F,,,,5.0,,,,7.0,12.0,14.0,6.0,6.0,A
2133,MN283864.1,,,,6.0,,,,5.0,,4.0,1.0,1.0,A
2134,DQ065628.1,,,,12.0,,,,8.0,3.0,1.0,1.0,1.0,A
2135,CR9114_D13R,,,,1.0,,,,1.0,36.0,34.0,44.0,34.0,A
2136,AB776853.1,,,,3.0,1.0,,,4.0,3.0,2.0,1.0,,A
2137,310-18A9,,,,4.0,,,,8.0,1.0,1.0,1.0,1.0,A
2138,321.5.PB.5.4B01_1,,,,2.0,,,,7.0,2.0,5.0,,,A
2139,EF178006.1,,,,15.0,,,,13.0,7.0,9.0,9.0,3.0,A
2140,MN291349.1,,,,,,,,2.0,1.0,,,,A
2141,MN281042.1,,,,25.0,,,,25.0,18.0,12.0,3.0,13.0,A
2142,HM774179.1,,,,9.0,,,,8.0,3.0,1.0,3.0,2.0,A
2143,JN110981.1,,,,3.0,,,,3.0,,,,,A
2144,MW458794.1,,,,3.0,,,,3.0,2.0,,,,A
2145,KJ880537.1,,,,7.0,,,,8.0,,4.0,3.0,2.0,A
2146,AY393359.1,,,,6.0,,,,5.0,4.0,,,1.0,A
2147,AB063762.1,,,,1.0,,,,3.0,1.0,1.0,,,A
2148,MK901873.1,,,,3.0,,,,4.0,,,,,A
2149,CR9114_Y7F,,,,2.0,,,,13.0,7.0,5.0,8.0,9.0,A
2150,KT304442.1,,,,7.0,,,,8.0,3.0,1.0,,4.0,A
2151,MT665423.1,,,,4.0,,,,7.0,4.0,5.0,3.0,1.0,A
2152,MW458903.1,,,,6.0,,,,9.0,1.0,2.0,,,A
2153,CR9114_D13Q,,,,4.0,,,,3.0,20.0,27.0,19.0,22.0,A
2154,CR9114_R2P,,,,3.0,,,,3.0,2.0,2.0,1.0,2.0,A
2155,MN218635.1,,,,12.0,,,,5.0,4.0,1.0,1.0,1.0,A
2156,MK269632.1,,,,1.0,,,,1.0,1.0,1.0,,,A
2157,310-18D4,,,,6.0,,,,7.0,1.0,2.0,1.0,,A
2158,EU667595.1,,,,3.0,,,,5.0,1.0,2.0,1.0,1.0,A
2159,EU794400.1,,,,1.0,,,,2.0,,,,,A
2160,KF895783.1,,,,3.0,,,,4.0,2.0,,2.0,1.0,A
2161,MW177328.1,,,,2.0,,,,5.0,,2.0,,,A
2162,HQ378381.1,,,,12.0,,,,7.0,1.0,2.0,4.0,,A
2163,KT304346.1,,,,6.0,,,,5.0,3.0,,1.0,1.0,A
2164,FJ385379.1,,,,2.0,,,,4.0,,,,,A
2165,MK269968.1,,,,7.0,,,,3.0,2.0,1.0,2.0,,A
2166,MN284135.1,,,,2.0,,,,4.0,,1.0,,,A
2167,AB067158.1,,,,15.0,,,,6.0,5.0,2.0,3.0,1.0,A
2168,MW458566.1,,,,3.0,,,,5.0,1.0,1.0,2.0,,A
2169,AY179857.1,,,,7.0,,,,9.0,2.0,1.0,,1.0,A
2170,018_10_4D06_1,,,,1.0,,,,3.0,1.0,1.0,,,A
2171,AJ233699.1,,,,2.0,,,,3.0,,,,,A
2172,MN867985.1,,,,2.0,,,,2.0,,,,1.0,A
2173,MN288045.1,,,,6.0,,,,11.0,2.0,1.0,2.0,2.0,A
2174,CR9114_Y8H,,,,6.0,,,,4.0,2.0,1.0,,,A
2175,AB066893.1,,,,5.0,,,,5.0,1.0,1.0,,2.0,A
2176,16.l.01_Heavy,76.0,39.0,18.0,67.0,176.0,382.0,1.0,3.0,662.0,864.0,831.0,776.0,A
2177,X64237.1,,,,5.0,,,,5.0,1.0,2.0,2.0,1.0,A
2178,GQ856059.1,,,,1.0,,,,3.0,,,,,A
2179,L29121.1,,,,4.0,,,,6.0,,,1.0,,A
2180,AB826548.1,,,,13.0,,,1.0,6.0,17.0,13.0,17.0,16.0,A
2181,AB826545.1,,,,3.0,,,,4.0,1.0,,,,A
2182,5T0406,,1.0,6.0,5.0,3.0,5.0,1.0,3.0,4.0,6.0,10.0,9.0,A
2183,MW602670.1,,,,4.0,,,,4.0,7.0,7.0,2.0,1.0,A
2184,MT712279.1,,,,5.0,,,,6.0,2.0,4.0,2.0,2.0,A
2185,GQ903505.2,,,,5.0,,,,4.0,1.0,,,,A
2186,315-54-05M_1E10,,,,6.0,,,,4.0,1.0,1.0,,1.0,A
2187,CR9114_V14L,,,,5.0,,,,3.0,19.0,16.0,11.0,12.0,A
2188,JN110733.1,,,,4.0,,,,8.0,3.0,1.0,2.0,3.0,A
2189,MW039668.1,,,,13.0,,,,13.0,15.0,9.0,11.0,8.0,A
2190,EF091909.1,,,,1.0,,,,2.0,,,,,A
2191,CR9114_V14K,,,,4.0,,,,2.0,123.0,116.0,82.0,69.0,A
2192,MW654974.1,,,,4.0,,,,5.0,,,1.0,,A
2193,R95-2B07,,,,3.0,,,,4.0,5.0,3.0,1.0,1.0,A
2194,MN281685.1,,,,4.0,,,,5.0,2.0,3.0,2.0,,A
2195,MW458149.1,,,,8.0,,,,7.0,4.0,4.0,4.0,1.0,A
2196,GQ856071.1,,,,16.0,,,,6.0,6.0,6.0,6.0,4.0,A
2197,MN281799.1,,,,6.0,,,,4.0,7.0,2.0,3.0,3.0,A
2198,MW681620.1,,,,8.0,,,,13.0,4.0,3.0,2.0,2.0,A
2199,MT665456.1,,,,9.0,,,1.0,6.0,2.0,2.0,2.0,1.0,A
2200,FI5141V,,,,4.0,,,,2.0,3.0,3.0,1.0,3.0,A
2201,AY393345.1,,,,5.0,,,,7.0,1.0,2.0,1.0,1.0,A
2202,KP278509.1,,,,,,,,4.0,,,,1.0,A
2203,AF217789.1,,,,7.0,,,,7.0,4.0,4.0,3.0,2.0,A
2204,AF103179.1,,,,21.0,1.0,,,8.0,7.0,3.0,4.0,4.0,A
2205,MN284859.1,,,,10.0,,,,6.0,1.0,,,,A
2206,DQ065627.1,,,,12.0,,,,8.0,5.0,8.0,5.0,4.0,A
2207,MN283292.1,,,,12.0,,,,6.0,2.0,1.0,1.0,3.0,A
2208,AY033284.1,,,,2.0,,,,5.0,2.0,2.0,,1.0,A
2209,MW176486.1,,,,7.0,,,,6.0,,2.0,,,A
2210,AY393516.1,,,,6.0,,,,6.0,3.0,1.0,2.0,2.0,A
2211,315-06-06_5G07,,,,3.0,,,,6.0,3.0,4.0,,,A
2212,HM774353.1,,,,5.0,,,,9.0,2.0,1.0,,2.0,A
2213,MW654912.1,,,,2.0,,,,2.0,1.0,1.0,,,A
2214,MN285155.1,,,,5.0,,,,7.0,3.0,,3.0,1.0,A
2215,MN281143.1,,,,15.0,,,,20.0,,2.0,2.0,1.0,A
2216,ADI-14422,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,A
2217,315-06-04_1D10,,,,2.0,,,,5.0,2.0,2.0,,,A
2218,MW602758.1,,,,3.0,,,,10.0,4.0,,3.0,2.0,A
2219,MW655274.1,,,,8.0,,,,11.0,9.0,6.0,3.0,8.0,A
2220,MW458470.1,,,,10.0,,,,5.0,,5.0,2.0,1.0,A
2221,MW251337.1,,,,2.0,,,,3.0,2.0,1.0,,,A
2222,MN281749.1,,,,11.0,,,1.0,22.0,9.0,5.0,2.0,5.0,A
2223,MW176597.1,,,,14.0,,,,8.0,4.0,4.0,,4.0,A
2224,MW655381.1,,,,5.0,,,,6.0,,,,,A
2225,KT304517.1,,,,7.0,,,,8.0,2.0,1.0,,1.0,A
2226,315-09-06_1G04,,,,4.0,,,,4.0,,,,,A
2227,MW655017.1,,,,11.0,,,,13.0,6.0,5.0,2.0,4.0,A
2228,KT304464.1,,1.0,,16.0,,,,6.0,2.0,6.0,2.0,5.0,A
2229,AG7-3C01_1,,,,6.0,,,,4.0,3.0,1.0,4.0,1.0,A
2230,KT304391.1,,,,9.0,,,,9.0,6.0,3.0,3.0,4.0,A
2231,321.5.PB.5.7A11_1,,,,3.0,,,,7.0,1.0,1.0,1.0,1.0,A
2232,MK269993.1,,,,9.0,,,,10.0,7.0,6.0,6.0,7.0,A
2233,MH605137.1,,,,5.0,,,,2.0,,,,,A
2234,20A-604-30_2B11,,,,6.0,,,,5.0,2.0,1.0,1.0,1.0,A
2235,HM774916.1,,,,8.0,,,,9.0,3.0,2.0,3.0,1.0,A
2236,AY003741.1,,,,1.0,,,,5.0,3.0,,,3.0,A
2237,AF283786.1,,,,3.0,,,,4.0,,,,,A
2238,315-54-05M_1B11,,,,1.0,,,,2.0,,,1.0,1.0,A
2239,EU099095.1,,,,2.0,,,,2.0,3.0,1.0,1.0,,A
2240,CR9114_R2K,,,,10.0,,,,10.0,12.0,8.0,8.0,11.0,A
2241,CR9114_D13S,,,,4.0,,,,6.0,21.0,12.0,12.0,11.0,A
2242,MN283294.1,,,,,,,,1.0,,,,,A
2243,321.5.PB.5.2H02_1,,,1.0,8.0,,,,8.0,4.0,,2.0,1.0,A
2244,MN281430.1,,,,8.0,,,,6.0,1.0,2.0,1.0,1.0,A
2245,MN282081.1,,,,6.0,,,,3.0,2.0,6.0,2.0,6.0,A
2246,HE584553.1,,,,3.0,,,,3.0,2.0,2.0,,1.0,A
2247,CR9114_Y9T,,,,8.0,,,,6.0,16.0,20.0,10.0,9.0,A
2248,20A-604-30_2F08,,,,4.0,,,,8.0,2.0,1.0,2.0,1.0,A
2249,MW654725.1,,,,3.0,,,,4.0,2.0,2.0,,,A
2250,MN395521.1,,,,4.0,,,,3.0,2.0,3.0,1.0,,A
2251,MG524243.1,,,,6.0,,,,6.0,,1.0,2.0,2.0,A
2252,FI469V,,,,6.0,,,,6.0,13.0,17.0,9.0,11.0,A
2253,AB826504.1,,,,6.0,,,,3.0,,,,,A
2254,JX420502.1,,,,4.0,,,,3.0,1.0,,1.0,,A
2255,KJ487366.1,,,,13.0,,,,13.0,8.0,3.0,,2.0,A
2256,MW177357.1,,,,1.0,,,,4.0,,,,2.0,A
2257,CR9114_V14E,,,,7.0,,,,6.0,9.0,9.0,12.0,6.0,A
2258,KX159314.1,,,,2.0,,,,7.0,,1.0,,1.0,A
2259,M18516.1,,,,9.0,1.0,,,6.0,10.0,5.0,4.0,6.0,A
2260,MK269792.1,,,,5.0,,,,5.0,1.0,,1.0,,A
2261,MW293028.1,,,,3.0,,,,4.0,,,2.0,3.0,A
2262,EU099201.1,,,,3.0,,,,4.0,6.0,1.0,2.0,1.0,A
2263,JF810274.1,,,,5.0,,,,5.0,1.0,1.0,1.0,,A
2264,KJ880495.1,,,,6.0,,,,1.0,4.0,1.0,,,A
2265,CR9114_Y7S,,1.0,,3.0,,,,2.0,2.0,1.0,1.0,,A
2266,GQ504941.1,,,,7.0,,,,10.0,,2.0,,1.0,A
2267,FJ039785.1,,,,14.0,,,,15.0,2.0,2.0,7.0,,A
2268,EU835557.1,,,,15.0,,,,12.0,3.0,4.0,1.0,1.0,A
2269,MN287625.1,,,,8.0,,,,10.0,2.0,3.0,1.0,2.0,A
2270,CR9114_N5_,,,,4.0,,,,9.0,2.0,2.0,3.0,1.0,A
2271,310-18B11,,,,5.0,,,,6.0,5.0,1.0,1.0,2.0,A
2272,KT304425.1,,,,7.0,,,,5.0,,,,,A
2273,KT304392.1,,,,1.0,,,,3.0,,,1.0,,A
2274,310-18G7_1,,,,1.0,,,,3.0,,,1.0,2.0,A
2275,MK270013.1,,,,4.0,,1.0,,3.0,1.0,5.0,3.0,4.0,A
2276,KJ880567.1,,,,6.0,,,,8.0,2.0,1.0,1.0,,A
2277,CR9114_S10M,,,,7.0,,,,6.0,43.0,42.0,36.0,33.0,A
2278,CR9114_Y7W,,,,1.0,,,,8.0,19.0,12.0,10.0,14.0,A
2279,MK270049.1,,,,1.0,,,,9.0,1.0,,3.0,1.0,A
2280,20A-605-30_2C01,,,,5.0,,,,10.0,2.0,2.0,,1.0,A
2281,Z92894.1,,,,4.0,,,,5.0,1.0,,,,A
2282,MW655165.1,,,,8.0,,,,9.0,1.0,,,2.0,A
2283,MN285026.1,,1.0,,5.0,,,,3.0,2.0,5.0,2.0,,A
2284,MK416762.1,,,,3.0,,,,4.0,,,,,A
2285,315-54-08_1C04,,,,1.0,,,,1.0,1.0,,,,A
2286,HM774561.1,,,,9.0,,,,5.0,2.0,,,1.0,A
2287,OK094379.1,,,,6.0,,,,8.0,1.0,4.0,2.0,1.0,A
2288,HM152496.1,,,,1.0,,,,1.0,3.0,,5.0,,A
2289,MW176619.1,,,,1.0,,,,4.0,,,,,A
2290,AJ414004.1,,,,,,,,1.0,1.0,,,,A
2291,MK269473.1,,,,2.0,,,,4.0,1.0,,,2.0,A
2292,MW293169.1,,,,14.0,,,,13.0,6.0,7.0,4.0,4.0,A
2293,CR9114_H3Q,,,,7.0,,,,6.0,19.0,19.0,25.0,9.0,A
2294,R95-1E05_1,,,,6.0,,,,2.0,3.0,,3.0,1.0,A
2295,JX420503.1,,,,7.0,,,,4.0,4.0,2.0,2.0,1.0,A
2296,MW655272.1,,,,6.0,,,,5.0,2.0,1.0,1.0,,A
2297,019-10117_3E04,,,,12.0,,,,12.0,4.0,2.0,3.0,3.0,A
2298,051_09_4C06_1,,,,3.0,,,,6.0,,1.0,,,A
2299,AM279637.1,,,,2.0,,,,5.0,1.0,,,,A
2300,MW176155.1,,,,3.0,,,,2.0,3.0,6.0,,1.0,A
2301,HM775034.1,,,,5.0,,,,4.0,2.0,1.0,1.0,2.0,A
2302,EU835546.1,,,,,,,,3.0,2.0,,,1.0,A
2303,EU433879.1,,,,1.0,,,,1.0,,,,1.0,A
2304,MW293164.1,,,,9.0,,,,7.0,2.0,1.0,2.0,,A
2305,ISD068PD_P1D1,84.0,157.0,155.0,180.0,151.0,123.0,2.0,1.0,491.0,509.0,646.0,488.0,A
2306,310-18H3,,,,19.0,,,,10.0,4.0,3.0,5.0,1.0,A
2307,OK094347.1,,,,1.0,,,,4.0,,,,,A
2308,CR9114_G11C,,,,7.0,,1.0,,7.0,18.0,18.0,20.0,15.0,A
2309,MN280945.1,,,,2.0,,,,6.0,1.0,3.0,3.0,2.0,A
2310,GQ903484.1,,,,18.0,,,,12.0,3.0,6.0,2.0,6.0,A
2311,MW458912.1,,,,7.0,,,,5.0,4.0,3.0,1.0,1.0,A
2312,MN281293.1,,,,3.0,,,,2.0,1.0,1.0,,,A
2313,FI521V,,,,5.0,,,,2.0,1.0,2.0,1.0,,A
2314,MK269849.1,,,,4.0,,,,5.0,,1.0,1.0,,A
2315,MW458635.1,,,,11.0,,,,4.0,1.0,1.0,,,A
2316,20A-518-30_1H01,,,,2.0,,,,3.0,1.0,1.0,1.0,1.0,A
2317,8M2,,,,1.0,,,,3.0,1.0,1.0,,,A
2318,MN288078.1,,,,13.0,,,,16.0,12.0,6.0,5.0,1.0,A
2319,MN283039.1,,,,5.0,,,,5.0,5.0,5.0,1.0,1.0,A
2320,MW458119.1,,,,2.0,,,,9.0,1.0,1.0,,,A
2321,MK269370.1,,,,3.0,,,,2.0,,1.0,,,A
2322,AY155557.1,,,,2.0,,,,3.0,1.0,3.0,,1.0,A
2323,EU099135.1,,,,1.0,,,,2.0,1.0,1.0,,,A
2324,MW458749.1,,,,2.0,,,,4.0,3.0,,1.0,,A
2325,MN284944.1,,,,5.0,,,,11.0,2.0,1.0,2.0,1.0,A
2326,MK269607.1,,,,4.0,,,,5.0,1.0,,1.0,,A
2327,MK269363.1,,,,6.0,,,,3.0,3.0,,,3.0,A
2328,MW655283.1,,,,5.0,,,,4.0,,,,,A
2329,AB063651.1,,,,3.0,,1.0,,5.0,,,,2.0,A
2330,GU552683.1,,,,1.0,,,,5.0,5.0,3.0,1.0,,A
2331,AY999997.1,,,,2.0,,,,6.0,3.0,,,1.0,A
2332,JN111003.1,,,,,,,,2.0,,,1.0,1.0,A
2333,MN285278.1,,,,4.0,,,,4.0,1.0,,1.0,,A
2334,MW002787.1,,,,1.0,,,,2.0,,,,,A
2335,MN282186.1,,,,3.0,,,,3.0,2.0,1.0,2.0,2.0,A
2336,GU272049.1,,,,3.0,,,,3.0,,,,,A
2337,MT665466.1,,,,7.0,,,,4.0,3.0,3.0,1.0,4.0,A
2338,AF062198.1,,,,,,,,1.0,,,,,A
2339,R66M-03Nov06-1HE4-1,111.0,2.0,76.0,77.0,,61.0,,1.0,308.0,287.0,495.0,427.0,A
2340,EF178014.1,,,,14.0,,,,16.0,5.0,5.0,6.0,3.0,A
2341,20A-618-30_1C11,,,,4.0,,,,9.0,1.0,,,1.0,A
2342,315_24Mem_1F03,,,,2.0,,,,2.0,2.0,2.0,,,A
2343,MK269864.1,,,,5.0,,,,6.0,1.0,5.0,3.0,,A
2344,MN291803.1,,,,6.0,,,,5.0,,2.0,,2.0,A
2345,MN283432.1,,,,9.0,,,,4.0,2.0,4.0,1.0,5.0,A
2346,GQ504914.1,,,,6.0,,,,2.0,,,,,A
2347,CR9114_M12D,,,,2.0,,,,2.0,,,2.0,,A
2348,HM774167.1,,,,12.0,,,,3.0,2.0,3.0,2.0,,A
2349,5B6_1,,,,5.0,,,,2.0,1.0,3.0,1.0,3.0,A
2350,FJ840113.1,,,,3.0,,,,5.0,,1.0,,,A
2351,MN288050.1,,,,4.0,,,,5.0,1.0,4.0,,,A
2352,MN292445.1,,,,4.0,,,,4.0,3.0,2.0,,3.0,A
2353,HM774498.1,,,,2.0,,,,4.0,1.0,1.0,1.0,,A
2354,FI404V,,,,7.0,,,,6.0,2.0,1.0,,2.0,A
2355,MN284130.1,,,,2.0,,,,6.0,1.0,,,,A
2356,CR9114_H3R,,,,2.0,,,,4.0,,,2.0,,A
2357,HM774863.1,,,,4.0,,,,3.0,,1.0,,,A
2358,AJ414002.1,,,,2.0,,,,2.0,1.0,2.0,,1.0,A
2359,EF175420.1,,,,,,,,2.0,,,,,A
2360,MN283024.1,,,,8.0,,,,10.0,3.0,6.0,2.0,1.0,A
2361,2G1,,,,14.0,,,,6.0,4.0,2.0,1.0,1.0,A
2362,AY393371.1,,,,11.0,,,,5.0,4.0,,4.0,5.0,A
2363,HM774891.1,,,,4.0,,,,3.0,5.0,,1.0,1.0,A
2364,MK270034.1,,,,4.0,,,,2.0,,2.0,,,A
2365,MW177318.1,,,,4.0,,,,5.0,,,,1.0,A
2366,K77-2D05_1,,,,7.0,,,,9.0,3.0,3.0,2.0,1.0,A
2367,MK901870.1,,,,3.0,,,,8.0,2.0,,1.0,1.0,A
2368,FI152V,,,,3.0,,,,5.0,2.0,4.0,6.0,,A
2369,20A-620-30_1A11,,,,7.0,,,,4.0,1.0,1.0,,1.0,A
2370,MN285024.1,,,,2.0,,,,4.0,,1.0,1.0,1.0,A
2371,EU099086.1,,,1.0,3.0,,,,6.0,2.0,4.0,3.0,3.0,A
2372,AB066830.1,,,,,,,,2.0,,1.0,,,A
2373,HQ704014.1,,,,12.0,,,,13.0,3.0,2.0,3.0,2.0,A
2374,051_09_4B02_1,,,,6.0,,,,3.0,3.0,1.0,1.0,2.0,A
2375,JN110825.1,,,,5.0,,,,7.0,2.0,1.0,1.0,4.0,A
2376,MW654892.1,,,,9.0,,,,8.0,5.0,5.0,4.0,2.0,A
2377,MN283628.1,,,,4.0,,,,5.0,4.0,3.0,1.0,2.0,A
2378,AB066948.1,,,,6.0,,,,4.0,,5.0,,1.0,A
2379,MN283992.1,,,,8.0,,,,9.0,7.0,2.0,5.0,2.0,A
2380,31.f.01_Heavy_1,,,,2.0,,,,4.0,7.0,3.0,3.0,6.0,A
2381,20A-609-30_1C11,,,,1.0,,,,3.0,,2.0,1.0,,A
2382,AB063871.1,,,,12.0,,,,5.0,4.0,,1.0,1.0,A
2383,MN287701.1,,,,9.0,,,,1.0,1.0,1.0,,1.0,A
2384,MK416835.1,,,,4.0,,,,3.0,,,,,A
2385,AG2-C05_1,,,,3.0,,,,5.0,1.0,1.0,1.0,,A
2386,MN284975.1,,,,4.0,,,,7.0,4.0,3.0,,2.0,A
2387,KM067799.1,,,,2.0,,,,5.0,1.0,3.0,2.0,,A
2388,MN292347.1,,,,3.0,,,,2.0,,2.0,,,A
2389,MN281782.1,,,,2.0,,,1.0,7.0,3.0,1.0,4.0,2.0,A
2390,KJ423723.1,,,,13.0,,,,7.0,3.0,4.0,5.0,6.0,A
2391,KT304518.1,,,,7.0,,,,9.0,5.0,2.0,1.0,2.0,A
2392,MN282380.1,,,,1.0,,,,2.0,,,,1.0,A
2393,HM774829.1,,,,2.0,,,,4.0,,,,,A
2394,JN000540.1,,,,11.0,,,,11.0,2.0,3.0,,3.0,A
2395,CR9114_Y6Q,,,,8.0,,,,10.0,4.0,3.0,2.0,1.0,A
2396,MW176615.1,,,,2.0,,,,3.0,,,,,A
2397,HQ392874.1,,,,6.0,,,,2.0,,,,,A
2398,MW458911.1,,,,7.0,,,,9.0,5.0,7.0,1.0,2.0,A
2399,KP278488.1,,,,5.0,,,,5.0,4.0,,,1.0,A
2400,MW587434.1,,,,3.0,,,,3.0,4.0,4.0,1.0,3.0,A
2401,KX948588.1,,,,5.0,,,,7.0,3.0,3.0,2.0,2.0,A
2402,AY866559.1,,,,3.0,,,,2.0,,1.0,,,A
2403,MK901177.1,,,,2.0,,,,4.0,1.0,1.0,1.0,2.0,A
2404,EU306358.1,,,,8.0,,,,4.0,3.0,5.0,3.0,4.0,A
2405,AF021951.1,,,,,,,,1.0,,,,,A
2406,2p22w47,,,,7.0,,,,4.0,,1.0,2.0,1.0,A
2407,MN395498.1,,,,1.0,,,,2.0,1.0,1.0,,,A
2408,MN281038.1,,,,5.0,,,,2.0,,,,,A
2409,AB826553.1,,,,,,,,4.0,,,1.0,,A
2410,MN282095.1,,,,1.0,,,,4.0,1.0,1.0,2.0,2.0,A
2411,MN287576.1,,,,1.0,,,,3.0,3.0,4.0,2.0,,A
2412,315-21-08_1E10,,,,5.0,,,,6.0,,1.0,,1.0,A
2413,310-18A5,,,,3.0,,,,3.0,1.0,1.0,,,A
2414,MN281714.1,,,,,,,,2.0,,,,2.0,A
2415,AY055485.1,,,,,,,,1.0,,2.0,,,A
2416,AY393528.1,,,,6.0,,,,6.0,4.0,4.0,,2.0,A
2417,DQ535357.1,,,,4.0,,,,7.0,2.0,2.0,,,A
2418,AJ437671.1,,,,,,,,4.0,3.0,3.0,3.0,,A
2419,EF091907.1,,,,1.0,,,,4.0,,,,,A
2420,MT665562.1,,,,2.0,,,,3.0,1.0,,4.0,,A
2421,AK097360.1,,,,2.0,,,,1.0,1.0,,,1.0,A
2422,MW458570.1,,,,2.0,,,,1.0,,1.0,2.0,1.0,A
2423,KJ423810.1,,,,3.0,,,,7.0,4.0,4.0,,2.0,A
2424,AM279521.1,,,,1.0,,,,3.0,,,,,A
2425,3p4w35,,,,9.0,,,,7.0,7.0,,,2.0,A
2426,CR9114_A1G,,,,10.0,,,1.0,3.0,10.0,12.0,4.0,12.0,A
2427,AJ414024.1,,,,2.0,,,,2.0,2.0,,1.0,1.0,A
2428,MK269706.1,,,,10.0,,1.0,,6.0,,1.0,,,A
2429,EF175409.1,,,,4.0,,,,1.0,,1.0,1.0,,A
2430,MN281808.1,,,1.0,9.0,,,,6.0,2.0,4.0,,1.0,A
2431,321.11.PB.6.1B11_1,,,,13.0,,,,9.0,5.0,9.0,3.0,1.0,A
2432,CR9114_D13Y,,,,2.0,,,,5.0,26.0,23.0,27.0,15.0,A
2433,CR9114_Y9V,,,,5.0,,,,9.0,12.0,5.0,5.0,4.0,A
2434,MK269509.1,,,,12.0,,,,6.0,,,2.0,,A
2435,MK269415.1,,,,4.0,,,,2.0,1.0,3.0,3.0,,A
2436,AY393539.1,,,,3.0,,,,3.0,1.0,,,1.0,A
2437,MN281187.1,,,,1.0,,,,3.0,,,,,A
2438,315-09-08_1D10,,,,16.0,,,,10.0,1.0,5.0,1.0,,A
2439,MT665505.1,,,,4.0,,,,6.0,4.0,,,,A
2440,16.l.01_Heavy_1,,,,3.0,,,,6.0,,3.0,,,A
2441,MW655164.1,,,,3.0,,,,6.0,4.0,,,,A
2442,HM995137.1,,,,3.0,,,,4.0,1.0,2.0,,,A
2443,AY179836.1,,,,4.0,,,,8.0,2.0,3.0,1.0,,A
2444,MT565834.1,,,,8.0,,,,4.0,2.0,4.0,,2.0,A
2445,JX462743.1,,,,1.0,,,,2.0,1.0,,1.0,,A
2446,MW655138.1,,,,5.0,,,,7.0,,3.0,2.0,2.0,A
2447,MW271375.1,,,,9.0,,,,4.0,3.0,1.0,,,A
2448,KX948679.1,,,,10.0,,,,11.0,6.0,7.0,3.0,3.0,A
2449,KT304463.1,,,,18.0,,,,13.0,5.0,1.0,4.0,3.0,A
2450,AF460720.1,,,,7.0,,,,5.0,1.0,1.0,,3.0,A
2451,KT304488.1,,,,8.0,,,,3.0,6.0,3.0,3.0,2.0,A
2452,F026-146_1,,,,3.0,,,,4.0,,,,,A
2453,MH259709.1,,1.0,,9.0,,1.0,,9.0,4.0,2.0,,1.0,A
2454,MK269856.1,,,,2.0,,,,6.0,,1.0,,1.0,A
2455,MN281259.1,,,,1.0,,,,2.0,,,,,A
2456,MN281275.1,,,,6.0,,,,2.0,,1.0,1.0,,A
2457,MN284428.1,,,,12.0,,,,5.0,7.0,5.0,2.0,3.0,A
2458,KT304503.1,,,,5.0,,,,6.0,1.0,2.0,1.0,1.0,A
2459,AJ414020.1,,,,5.0,,,,2.0,3.0,1.0,,1.0,A
2460,321.11.GC.6.2A08_1,,,,15.0,,,,14.0,3.0,3.0,3.0,5.0,A
2461,MW718360.1,,,,12.0,,,,9.0,9.0,4.0,5.0,3.0,A
2462,EU099106.1,,,,7.0,,,,1.0,8.0,2.0,1.0,1.0,A
2463,EF583663.1,,,,4.0,,,,3.0,,,,,A
