,ID,K_bin0_Expression_1,K_bin0_Expression_2,K_bin0_binding_1,K_bin0_binding_2,K_bin1_Expression_1,K_bin1_Expression_2,K_bin1_binding_1,K_bin1_binding_2,K_input_Binding_1,K_input_Binding_2,K_input_Expression_1,K_input_Expression_2,concentration
114,MK434059.1,,,,8.0,,,,19.0,3.0,1.0,4.0,1.0,A
115,20A-623-30_1H01,,,,8.0,,,1.0,9.0,6.0,3.0,2.0,1.0,A
116,MT566016.1,,,,6.0,,,,11.0,1.0,1.0,,,A
117,MH500133.1,,,,18.0,,,,24.0,9.0,9.0,5.0,5.0,A
118,KX858679.1,,,,14.0,,,,19.0,9.0,5.0,9.0,7.0,A
119,KU602203.1,,,,21.0,,,,22.0,9.0,6.0,3.0,3.0,A
120,MW458797.1,,,,15.0,,,,13.0,5.0,3.0,,2.0,A
121,MW458133.1,,,,13.0,,1.0,,15.0,313.0,292.0,188.0,195.0,A
122,MW458430.1,,,,6.0,,,,8.0,2.0,1.0,2.0,1.0,A
123,EU099171.1,,,,5.0,,,,5.0,4.0,4.0,3.0,4.0,A
124,MG524296.1,1.0,,,11.0,,,,7.0,1.0,1.0,1.0,,A
125,AY179860.1,,,,3.0,,,,6.0,1.0,3.0,,,A
126,MN282993.1,,,,5.0,,,,4.0,1.0,1.0,1.0,2.0,A
127,AF308548.1,,,,4.0,,,,8.0,8.0,1.0,2.0,4.0,A
128,AY393689.1,,,,6.0,,,,6.0,3.0,3.0,1.0,2.0,A
129,CR9114_Y9W,,,,19.0,,,,20.0,9.0,5.0,3.0,4.0,A
130,1361,213.0,2.0,186.0,473.0,323.0,931.0,4.0,215.0,1899.0,1902.0,2421.0,2028.0,A
131,MW458129.1,,,,1.0,,,,5.0,1.0,4.0,3.0,2.0,A
132,U09084.1,,,,1.0,,,,5.0,3.0,2.0,1.0,1.0,A
133,20A-604-30_1H02,,,,11.0,,,,11.0,3.0,3.0,,1.0,A
134,CR9114_R2D,,,,6.0,,,,5.0,7.0,8.0,10.0,3.0,A
135,HM774757.1,,,,33.0,,,,14.0,10.0,12.0,8.0,6.0,A
136,MN281228.1,,,,20.0,,,,15.0,3.0,5.0,3.0,3.0,A
137,CS10,,3.0,2.0,1.0,1.0,3.0,21.0,13.0,11.0,3.0,3.0,3.0,A
138,MN288051.1,,,,7.0,,,,5.0,1.0,2.0,,1.0,A
139,EU350411.1,,,,1.0,,,,1.0,,,,,A
140,HM774494.1,,,,23.0,,,,18.0,8.0,5.0,6.0,8.0,A
141,FJ840143.1,,,,3.0,,,,6.0,1.0,,,,A
142,KF895799.1,,,,12.0,,,,8.0,1.0,1.0,1.0,1.0,A
143,16563430_62g02,55.0,1.0,30.0,41.0,47.0,40.0,1.0,143.0,471.0,563.0,733.0,570.0,A
144,MW177317.1,,,,2.0,,,,8.0,1.0,1.0,1.0,2.0,A
145,HM774873.1,,,,11.0,,,1.0,18.0,11.0,9.0,6.0,8.0,A
146,1009-3E06,,4.0,18.0,53.0,193.0,206.0,95.0,370.0,355.0,329.0,471.0,463.0,A
147,CS3,,4.0,4.0,2.0,3.0,7.0,23.0,13.0,30.0,10.0,11.0,2.0,A
148,MW458852.1,,1.0,,5.0,,,,12.0,2.0,2.0,2.0,1.0,A
149,AB063761.1,,,,6.0,,,,4.0,1.0,1.0,1.0,,A
150,MK269974.1,,,,5.0,,,,5.0,2.0,,1.0,,A
151,MK900980.1,,,,3.0,,,,4.0,,1.0,1.0,,A
152,MN282408.1,,,,1.0,,,,2.0,1.0,,,,A
153,MN291972.1,,,,2.0,,,,1.0,,,,,A
154,FJ385424.1,,,,14.0,,,,23.0,10.0,3.0,3.0,,A
155,AF460964.1,,,,8.0,,,,12.0,9.0,6.0,5.0,3.0,A
156,TF3.12,349.0,194.0,498.0,910.0,680.0,3075.0,30.0,549.0,4475.0,4727.0,6224.0,5110.0,A
157,HM774962.1,,,,8.0,,,,7.0,4.0,4.0,4.0,5.0,A
158,KT304403.1,,,,15.0,,,,19.0,5.0,2.0,1.0,5.0,A
159,MH605118.1,,,,8.0,,,,11.0,5.0,5.0,,2.0,A
160,CR9114_A1E,,,,3.0,,,,3.0,1.0,3.0,,1.0,A
161,EF583665.1,,,,5.0,,,,4.0,2.0,3.0,,1.0,A
162,DQ524120.1,,,,13.0,,,,9.0,7.0,6.0,4.0,5.0,A
163,DQ840709.1,,,,20.0,,,,23.0,13.0,14.0,12.0,9.0,A
164,MW655365.1,,,,6.0,,,,6.0,2.0,2.0,,1.0,A
165,CR9114_Y9I,,,,4.0,,,,11.0,5.0,7.0,5.0,6.0,A
166,CR9114_M12F,1.0,,,9.0,,,,12.0,12.0,6.0,3.0,7.0,A
167,MN283048.1,,,,1.0,,,,1.0,,,,,A
168,CR9114_D13I,,,,10.0,,,1.0,18.0,198.0,190.0,146.0,144.0,A
169,HM774911.1,,,,7.0,,,,4.0,2.0,,1.0,1.0,A
170,310-18F11,,,,4.0,,,,3.0,2.0,3.0,,,A
171,147e02,84.0,20.0,26.0,386.0,276.0,1463.0,67.0,181.0,1642.0,1614.0,2270.0,1779.0,A
172,HM774700.1,,,,8.0,,,,10.0,2.0,1.0,,1.0,A
173,EU099175.1,,,,5.0,,,,5.0,1.0,2.0,2.0,,A
174,MK269947.1,,,,2.0,,,,8.0,5.0,,2.0,2.0,A
175,MN288040.1,,,,,,,,1.0,,,,,A
176,317.4K.L017.01_W2,366.0,447.0,169.0,424.0,530.0,1324.0,11.0,52.0,2136.0,2047.0,2504.0,2109.0,A
177,AG7-G05_1,,,,11.0,,,,8.0,3.0,4.0,3.0,2.0,A
178,W85-1C10_1,,,,5.0,,,,7.0,3.0,3.0,2.0,2.0,A
179,CR9114_G11L,,,,16.0,,,,20.0,34.0,36.0,35.0,30.0,A
180,Z35123.1,,,,4.0,,,,5.0,1.0,3.0,,3.0,A
181,MK269474.1,,,,46.0,,,,30.0,6.0,9.0,9.0,7.0,A
182,TTP-A27,17.0,,,1.0,21.0,75.0,5.0,214.0,386.0,245.0,505.0,422.0,A
183,EU099103.1,,,,6.0,,,,9.0,4.0,9.0,5.0,3.0,A
184,C163D1,43.0,4.0,,102.0,85.0,287.0,,259.0,461.0,670.0,564.0,460.0,A
185,ADI-56045,,,,,,8.0,,93.0,40.0,46.0,45.0,56.0,A
186,56.g.01_Heavy_1,,,,6.0,,,,6.0,,,,,A
187,315-21-04_1E09,,,,13.0,,,,8.0,11.0,5.0,2.0,4.0,A
